Shop Code,Store Name,Date,Time,SKU,Product Name,Primary Category,POS Category,EAN,Type,Reference ID,Available Quantity Changes,Available Quantity,Receiving Quantity Changes,Receiving Quantity,Departing Quantity Changes,Departing Quantity
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10105000,宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤)宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤)宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤) Miyazaki/Kumamoto/Aichi Arus Melon (A+ Grade/Weight:1.5kg approx.),AA47105000001,PSOSTEST18;PSOSTEST1357;PSOSElderlyProgram,2000000079905,DATA_ARCHIVE,2023-05-22 11:13:02,640,640,3361,3246,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012777,"紐西蘭帶骨羊仔腩 (急凍) New Zealand Lamb Flap, Bone - In, Diced (Frozen)",AA47105000001,PSOSTest_FrozenA_B_C;PSOSIMAX_KERRY;PSOSTEST52;PSOSTEST232;PSOSElderlyProgram,4895134101671,DATA_ARCHIVE,2023-05-22 11:13:02,603,603,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10006760,牛骨湯麵牛骨湯麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵 GOMTANG NOODLE (BEEF FLAVOUR)NOODLENOODLENOOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENO,AA11354005001,PSOSTEST33;PSOSTEST207,648436000000;648436105144,DATA_ARCHIVE,2023-05-22 11:13:02,18,18,64,64,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_KC1129,"指甲油 (彩色系) ",AA37701000001,PSOSTEST16;PSOSTEST1051;PSOSElderlyProgram,2000000124292,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0176001_S_669903-G,防脹氣奶瓶160ml-綠色 Anit-Colic 160ml (5oz)  (Green),AA33504000001,PSOSTEST_VEGET;PSOSTEST22;PSOSTEST1440;PSOS_exclude_list_test;PSOSElderlyProgram,MDRound,DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10011849,美國大西洋野生響螺頭 M (急凍) USA Conch M (Frozen),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST62;PSOSTEST1121;PSOSElderlyProgram,4897010671520,DATA_ARCHIVE,2023-05-22 11:13:02,-6,-6,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10007305,溫和沐浴乳 Essential Cleansing Emulsion,AA33401000001,PSOSTEST_VEGET;PSOSBIOLANE;PSOSTEST82;PSOSTEST1660;PSOSElderlyProgram,3286018000035,DATA_ARCHIVE,2023-05-22 11:13:02,-1904,-1904,2004,2004,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0160001_S_HHC00136,??TTO??? Dada,AA37452000001,PSOSTest_Cathy;PSOSTEST58;PSOSTEST1135;POS_CAT_FROZEN;PSOSVIP20250609;PSOSElderlyProgram,620554001362,DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012938,雞髀扒(急凍) Chicken Leg Steak(Frozen),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST96;PSOSTEST193;PSOSElderlyProgram,4897045620036;4897045620821,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_KC1136,"指甲油 (彩色系) ",AA37701000001,PSOSTEST38;PSOSTEST1969,2000000124179,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10133453,澳洲M4+ 和牛西冷牛扒 (急凍) Australia M4+ Wagyu Striploin Steak (Frozen),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST72;PSOSTEST1027;PSOSElderlyProgram,9343718005549,DATA_ARCHIVE,2023-05-22 11:13:02,-4,-4,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10022800,法國雞中翼 (急凍) FRANCE MID JOINT WINGS (Frozen),AA11118200001,PSOSTest_FrozenA_B_C;PSOSTEST88;PSOSTEST1150;PSOSElderlyProgram,2022033009506;4895134101251,DATA_ARCHIVE,2023-05-22 11:13:02,-3,-3,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0294001_S_120301,潔淨控油頭皮精華 NORMALISANTE OILY SCALP SERUM,AA42301500001,PSOSTEST4;PSOSTEST151;PSOSElderlyProgram,4040218120301,DATA_ARCHIVE,2023-05-22 11:13:02,0,0,70,70,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10004780,出前一丁雞蓉味麵 Demae Ramen Chicken Flavour Instant Noodle,,PSOSTEST22;PSOSTEST208,4897878000036,DATA_ARCHIVE,2023-05-22 11:13:02,800,800,2862,2862,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_1272,AAA薰衣草沐浴露 AAA,AA42101500001,PSOSTEST_VEGET;PSOSTEST43;PSOSTEST623;PSOSVIP20250610,4891363100102,DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012115,小白菜豬肉水餃 (急凍） Chinese White Cabbage & Pork Water Dumpling (Frozen),AA11115000001,PSOSTEST72;PSOSTEST1703,4897878720019,DATA_ARCHIVE,2023-05-22 11:13:02,0,0,132,132,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10009568,日本濃口醬油 Japanese Extreme Koikuchi Shoyu,AA11451005001,PSOSTEST6;PSOSTEST1355;PSOSElderlyProgram,4897020733287,DATA_ARCHIVE,2023-05-22 11:13:02,180,180,640,640,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_1284,活花護髮素 Live Flower Conditioner,AA42254500001,PSOSTEST100;PSOSVIP20250610;PSOSexclude20250610;PSOSElderlyProgram,4891363100522,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10016359,雜錦派對燒烤腸 (急凍) Grill Party (Frozen),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST35;PSOSTEST1833;PSOSElderlyProgram,9003903496414,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_KC1140,"指甲油 (彩色系) ",AA37701000001,PSOSTEST57;PSOSTEST154;PSOSElderlyProgram,2000000124193,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012579,"有機雞胸 (去皮無骨) (急凍) Boneless, Skinless Chicken Breasts with Rib Meat (10pcs per bag)-Frozen",AA47105000001,PSOSTEST89;PSOSTEST462;PSOSElderlyProgram,1799722618295;2000000122175,DATA_ARCHIVE,2023-05-22 11:13:02,0,0,0,0,0,0
