Product Code,Product Name,Primary Category,POS Category,EAN,Store Name,Reference Type,Reference Number,Available Quantity Change,Available Quantity,Arriving Quantity Change,Arriving Quantity,Departing Quantity Change,Departing Quantity,Transaction Date
H0888001_S_10133453,澳洲M4+ 和牛西冷牛扒 (急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST72;PSOSTEST1027;PSOSElderlyProgram,9343718005549,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-4,-4,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10012938,雞髀扒(急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST96;PSOSTEST193;PSOSElderlyProgram,4897045620036;4897045620821,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10012783,巴西牛胸腩粒 (急凍),AA47105000001,PSOSTest_Frozen;PSOSIMAX_KERRY;PSOSTEST32;PSOSTEST437;PSOSElderlyProgram,4895134101725,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1262,-1262,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10002038,衣物柔順劑溫柔呵護配方,AA11820515001,PSOSSOFTEN;PSOSTEST27;PSOSTEST268;PSOSElderlyProgram,4892368660837;4892368839073,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,54,54,900,900,0,0,22/05/2023 11:13:02
H0888001_S_10003734,純正番茄汁,AA11222010001,PSOSTEST71;PSOSTEST448;PSOSElderlyProgram,4901306012901,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,28,28,378,378,0,0,22/05/2023 11:13:02
H0888001_S_10134870,美國Prime 牛肩肉火鍋片 (急凍),AA47105000001,PSOSTest_Frozen;PSOSTEST13;PSOSTEST1225;PSOSElderlyProgram,489705930506,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10019475,西班牙栗飼豬梅肉扒 (急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST3;PSOSElderlyProgram,4895134103002,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-4,-4,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10009135,藍梅寒天果凍糖,AA11153005001,PSOSTEST64;PSOSTEST1305;PSOSElderlyProgram,4901377002207,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0,22/05/2023 11:13:02
H0249001_S_KC1112,指甲油 (藍紫色系),AA37701000001,PSOSTEST52;PSOSTEST1329;PSOSElderlyProgram,2000000123899,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0249001_S_4290,懷舊2R相簿,AA37800000001,PSOSTEST23;PSOSTEST1031,2000000124483,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10136677,越南海虎蝦 套裝 (急凍),AA47105000001,PSOSTest_Meatset;PSOSAllExcludeList;PSOSTEST6;PSOSTEST1761;PSOSElderlyProgram,2000101366775,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1900,-1900,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10004781,前一丁九州濃湯豬骨湯味麵,AA47105000001,PSOSTest_FRUIT;PSOSTEST98;PSOSTEST486;PSOSElderlyProgram,4897878800025,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,1244,1244,4400,4250,0,0,22/05/2023 11:13:02
H0888001_S_10012836,冷凍熟帶頭南美白對蝦,AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST73;PSOSTEST1832;PSOSElderlyProgram,8858984801517,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-12,-12,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10009151,什錦軟糖,AA11150560001,PSOSTEST43;PSOSTEST1402;PSOSElderlyProgram,4901550267546,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0160001_S_WN07490,女士至寶護道小紅莓,AA47109000001,PSOSTEST78;PSOSTEST1264;PSOSElderlyProgram,625273074901,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,65,12,0,0,0,0,22/05/2023 11:13:02
H0249001_S_KC1140,指甲油 (彩色系),AA37701000001,PSOSTEST57;PSOSTEST154;PSOSElderlyProgram,2000000124193,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0249001_S_1284,活花護髮素,AA42254500001,PSOSTEST100;PSOSVIP20250610;PSOSexclude20250610;PSOSElderlyProgram,4891363100522,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10009568,日本濃口醬油,AA11451005001,PSOSTEST6;PSOSTEST1355;PSOSElderlyProgram,4897020733287,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,180,180,640,640,0,0,22/05/2023 11:13:02
H0888001_S_10004780,出前一丁雞蓉味麵,,PSOSTEST22;PSOSTEST208,4897878000036,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,800,800,2862,2862,0,0,22/05/2023 11:13:02
H0294001_S_120301,潔淨控油頭皮精華,AA42301500001,PSOSTEST4;PSOSTEST151;PSOSElderlyProgram,4040218120301,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,0,0,70,70,0,0,22/05/2023 11:13:02
H0249001_S_KC1136,指甲油 (彩色系),AA37701000001,PSOSTEST38;PSOSTEST1969,2000000124179,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0160001_S_HHC00136,??TTO???,AA37452000001,PSOSTest_Cathy;PSOSTEST58;PSOSTEST1135;POS_CAT_FROZEN;PSOSVIP20250609;PSOSElderlyProgram,620554001362,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10007305,溫和沐浴乳,AA33401000001,PSOSTEST_VEGET;PSOSBIOLANE;PSOSTEST82;PSOSTEST1660;PSOSElderlyProgram,3286018000035,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1904,-1904,2004,2004,0,0,22/05/2023 11:13:02
H0888001_S_10011849,美國大西洋野生響螺頭 M (急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST62;PSOSTEST1121;PSOSElderlyProgram,4897010671520,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-6,-6,0,0,0,0,22/05/2023 11:13:02
H0176001_S_669903-G,防脹氣奶瓶160ml-綠色,AA33504000001,PSOSTEST_VEGET;PSOSTEST22;PSOSTEST1440;PSOS_exclude_list_test;PSOSElderlyProgram,MDRound,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10006760,牛骨湯麵牛骨湯麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵,AA11354005001,PSOSTEST33;PSOSTEST207,648436000000;648436105144,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,18,18,64,64,0,0,22/05/2023 11:13:02
H0888001_S_10012777,紐西蘭帶骨羊仔腩 (急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSIMAX_KERRY;PSOSTEST52;PSOSTEST232;PSOSElderlyProgram,4895134101671,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,603,603,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10018053,美國安格斯一口牛粒 (急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST60;PSOSTEST1418;PSOSElderlyProgram,4897059300498,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-4,-4,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10012725,日式浦燒鰻魚 (急凍),AA47105000001,PSOSTest_Frozen;PSOSIMAX_KERRY;PSOSTEST8;PSOSTEST1688;PSOSElderlyProgram,4897010671568,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,586,586,50,0,0,0,22/05/2023 11:13:02
H0888001_S_10012012,Bibigo 鮮嫩雞肉迷你水餃 (急凍),AA11115000001,PSOSTest_Frozen_Non Meat_Seafood;PSOSTEST94;PSOSTEST264;PSOSexcludegaigaitest;PSOSgaigaisssss;PSOSElderlyProgram,6955797200284,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10009665,穴位按壓清涼足貼,AA11856000001,PSOSTEST88;PSOSTEST694;PSOSElderlyProgram,2000000103549;4895149205111,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,60,60,900,900,0,0,22/05/2023 11:13:02
H0888001_S_10007313,滋潤保濕乳霜,AA11924015001,PSOSBIOLANE;PSOSTEST93;PSOSTEST1702;PSOSElderlyProgram,3286011008502,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-12,-12,0,0,2,2,22/05/2023 11:13:02
H0888001_S_10004785,出前一丁火辣海鮮味麵,AA11354005001,PSOSnoodles;PSOSTEST12;PSOSTEST659,4897878800032,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,672,672,1596,1536,0,0,22/05/2023 11:13:02
H0888001_S_10007311,抗敏護膚膏,AA11924015001,PSOSBIOLANE;PSOSTEST66;PSOSTEST1015;PSOSElderlyProgram,3286011092310,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,0,0,420,420,0,0,22/05/2023 11:13:02
