Shop Code,Store Name,Date,Time,POS Order Number,Hybris Order Code,Product Quantity,Product Price,Order Amount,Include Web Cart,Mode,Payment Method,Payment Type,Payment Terminal,Payment Reference,Payment Auth Code,PAN,Manual Confirm,Manual Confirm Payment Remark,Customer,Staff,Manual Payment Order Remark
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,11:57:15,CLS0120250930115712,H250930500032,0,49.9,49.9,Y,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,帥哥 帥哥 (9067608866820),RENEE,ii
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,12:05:21,CLS0120250930120518,H250930000054,0,49.9,49.9,Y,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,帥哥 帥哥 (9067608866820),RENEE,ioo
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,12:07:15,CLS0120250930120711,H250930500036,0,49.9,49.9,Y,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,帥哥 帥哥 (9067608866820),RENEE,ii
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,12:17:02,CLS0120250930121700,H250930500039,0,110,110,Y,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,帥哥 帥哥 (9067608866820),RENEE,iii
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,14:36:13,CLS0120250930143608,H250930001011,0,"1,346","1,346",Y,CASHIER,OCTOPUS,,MANUAL,,,,N,,John Test (9045719842820),SHELDON,tt
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,22/09/2025,16:36:12,CLS0220250922163607,H250922002052,3,866,866,N,CASHIER,QR_CODE,UPQR,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,22/09/2025,16:47:30,CLS0220250922164728,H250922002053,4,271.7,271.7,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,17:39:02,CLS0220250925173859,H250925003034,3,451,451,N,CASHIER,OCTOPUS,,MANUAL,,,,N,,,SHELDON,test
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,17:40:26,CLS0220250925174023,H250925003033,2,734,734,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,,SHELDON,test
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,17:42:42,CLS0220250925174236,H250925003035,2,298,298,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,test cs (8995912482820),SHELDON,test offline
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,17:44:42,CLS0220250925174437,H250925003036,1,15,15,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,test cs (8995912482820),SHELDON,test offline
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,17:50:01,CLS0220250925174948,H250925003037,1,15,15,N,CASHIER,QR_CODE,UPQR,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test offline
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,17:52:17,CLS0220250925175206,H250925003039,1,15,15,N,CASHIER,QR_CODE,UPQR,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test online
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,18:07:51,CLS0220250925180746,H250925003044,1,15,15,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test online
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,25/09/2025,18:08:42,CLS0220250925180836,H250925003046,1,15,15,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test offline
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,26/09/2025,10:48:56,CLS0220250926104853,H250926001010,1,15,15,N,CASHIER,OCTOPUS,,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,26/09/2025,10:50:16,CLS0220250926105014,H250926001013,1,15,15,N,CASHIER,OCTOPUS,,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,test
"",,,,Total: 27,,Total: 37,"Total: $5,980.2","Total: $5,934.6"
