pos_order_number,sku_id,qty,total_amount,order_date,promotion_code,promotion_name_zh,promotion_name_en,promotion_label,promotion_discount_amount,cashier,hybris_sync_date,mall_dollar_rebate_amount
OWS0320260304100625,H1688001_S_10111270,9,101.7,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,15.3,LOMF,"2000-10-17 00:00:00",NULL
OWS0320260304100625,H0001001_S_plasticbag1,1,1,2026-03-04,,,,,,LOMF,"0000-00-00 00:00:00",NULL
MCS0020260304100653,H1688001_S_10111380,2,23.9,2026-03-04,PROMO_32515|PROMO_32539,"<FRUIT>  ALL 超甜神石榴: $33.9/2個|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $33.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304100653,H0888001_S_10161394,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,YYSHIH,"0000-00-00 00:00:00",NULL
OWS0320260304100701,H1688001_S_10111262,3,29.9,2026-03-04,PROMO_32096|PROMO_32542,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $39.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,5.1|10.0,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304100701,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,LOMF,"0000-00-00 00:00:00",NULL
GIN0220260304100733,H1688001_S_10111271,6,9.9,2026-03-04,PROMO_32533|PROMO_32545,"<FRUIT>  ALL 超甜蜜柑: $19.9/6個|送檸檬碳酸1支(6)","<FRUIT> Buy More Save More: $19.9/6|送檸檬碳酸1支(6)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304100733,H0888001_S_10160755,1,10,2026-03-04,PROMO_32545,送檸檬碳酸1支(6),送檸檬碳酸1支(6),RM_DISCOUNT_SKU_LEVEL,8.0,MF231068,"0000-00-00 00:00:00",NULL
OWS0320260304100754,H1688001_S_10111262,3,29.9,2026-03-04,PROMO_32096|PROMO_32542,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $39.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,5.1|10.0,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304100754,H0888001_S_10161394,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,LOMF,"0000-00-00 00:00:00",NULL
GIN0220260304100814,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
MCS0020260304100925,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,YYSHIH,"0000-00-00 00:00:00",NULL
GIN0220260304100958,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304100958,H1688001_S_10112163,1,16.8,2026-03-04,PROMO_29441,<水果>消費換購,<水果>消費換購,RM_DISCOUNT_SKU_LEVEL,1.2,MF231068,"0000-00-00 00:00:00",NULL
MCS0020260304101021,H1688001_S_10111380,2,23.9,2026-03-04,PROMO_32515|PROMO_32539,"<FRUIT>  ALL 超甜神石榴: $33.9/2個|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $33.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304101021,H0888001_S_10161394,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,YYSHIH,"0000-00-00 00:00:00",NULL
PMS0320260304101034,H0888001_S_10158666,1,25,2026-03-04,PROMO_26318,"<RM>黑酢/黑醋飲品 $50/2","<RM>黑酢/黑醋飲品 $50/2",RM_DISCOUNT_SKU_LEVEL,4.0,YYMAK,"2000-02-05 00:00:00",NULL
PMS0320260304101034,H0888001_S_10158665,1,25,2026-03-04,PROMO_26318,"<RM>黑酢/黑醋飲品 $50/2","<RM>黑酢/黑醋飲品 $50/2",RM_DISCOUNT_SKU_LEVEL,4.0,YYMAK,"2000-02-05 00:00:00",NULL
MCS0020260304101152,H1688001_S_10111282,1,87.9,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,YYSHIH,"0000-00-00 00:00:00",NULL
PMS0320260304101224,H1688001_S_10111839,2,24.6,2026-03-04,PROMO_3566|PROMO_4347,"O2O 菜類產品買2件9折|Auto 長者會員每件-$2","O2O Any 2 kinds of veggies, 10% OFF|Auto Senior Club Member -$2/pcs",RM_DISCOUNT_SKU_LEVEL|PROMOTION,3.2|4.0,YYMAK,"0000-00-00 00:00:00",NULL
STL0120260304101231,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF250276,"0000-00-00 00:00:00",NULL
OWS0320260304101231,H0888001_S_10153500,1,77,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,LOMF,"2000-07-07 00:00:00",NULL
OWS0320260304101231,H0888001_S_10158734,2,16,2026-03-04,PROMO_4347|PROMO_30468,"Auto 長者會員每件-$2|<RM>貴州高原紅心雞蛋 $20/2","Auto Senior Club Member -$2/pcs|<RM>貴州高原紅心雞蛋 $20/2",PROMOTION|RM_DISCOUNT_SKU_LEVEL,4.0|10.0,LOMF,"2000-01-06 00:00:00",NULL
MCS0020260304101253,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,YYSHIH,"0000-00-00 00:00:00",NULL
TPS0120260304101246,H1688001_S_10111262,3,29.9,2026-03-04,PROMO_32096|PROMO_32542,"<FRUIT>  ALL 澳洲牛油果: $39.9/3個|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $39.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,5.1|10.0,MF230991,"0000-00-00 00:00:00",NULL
TPS0120260304101246,H0888001_S_10160755,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,MF230991,"0000-00-00 00:00:00",NULL
TPS0120260304101318,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF230991,"0000-00-00 00:00:00",NULL
OWS0320260304101329,H1688001_S_10111270,3,33.9,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,5.1,LOMF,"0000-00-00 00:00:00",NULL
MCS0020260304101342,H1688001_S_10111630,1,16.9,2026-03-04,,,,,,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304101342,H1688001_S_10112163,1,16.8,2026-03-04,PROMO_29441,<水果>消費換購,<水果>消費換購,RM_DISCOUNT_SKU_LEVEL,1.2,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304101342,H0001001_S_plasticbag1,1,1,2026-03-04,,,,,,YYSHIH,"0000-00-00 00:00:00",NULL
GIN0220260304101352,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304101352,H1688001_S_10112163,1,14.8,2026-03-04,PROMO_4347|PROMO_29441,"Auto 長者會員每件-$2|<水果>消費換購","Auto Senior Club Member -$2/pcs|<水果>消費換購",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|1.2,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304101352,H1888001_S_16001724,1,18,2026-03-04,PROMO_4347|PROMO_29588,"Auto 長者會員每件-$2|消費換購1件","Auto Senior Club Member -$2/pcs|消費換購1件",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|5.0,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304101352,H0888001_S_10018941,2,28.9,2026-03-04,PROMO_4347|PROMO_32146,"Auto 長者會員每件-$2|消費換購2件","Auto Senior Club Member -$2/pcs|消費換購2件",PROMOTION|RM_DISCOUNT_SKU_LEVEL,4.0|24.9,MF231068,"0000-00-00 00:00:00",NULL
TYS0020260304101308,H0888001_S_10138512,4,75.6,2026-03-04,PROMO_27950|PROMO_32554,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2|<TYS限定>星期一至五10-12 9折","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2|<TYS限定>星期一至五10-12 9折",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_ORDER_LEVEL,16.0|8.4,LMCHEUNG,"0000-00-00 00:00:00",NULL
OWS0320260304101433,H0888001_S_10155682,2,75.9,2026-03-04,PROMO_28403,(3月狂劈價)澳洲150日穀飼黑安格斯牛肩胛火鍋片$75.9/2,(3月狂劈價)澳洲150日穀飼黑安格斯牛肩胛火鍋片$75.9/2,RM_DISCOUNT_SKU_LEVEL,15.9,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304101433,H0888001_S_10158756,1,45.9,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,6.1,LOMF,"0000-00-00 00:00:00",NULL
PFB0020260304101442,H1688001_S_10111284,1,87.9,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,TLCHAN,"0000-00-00 00:00:00",NULL
GIN0220260304101526,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304101526,H1888001_S_16001724,1,20,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,5.0,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304101610,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
FTC0020260304101636,H1688001_S_10111281,1,98,2026-03-04,,,,,,MF250141,"0000-00-00 00:00:00",NULL
GIN0220260304101640,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
KAM0020260304101747,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,TLCHAN,"0000-00-00 00:00:00",NULL
KAM0020260304101747,H0001001_S_plasticbag1,1,1,2026-03-04,,,,,,TLCHAN,"0000-00-00 00:00:00",NULL
SRS0120260304101905,H0888001_S_10144447,1,89.9,2026-03-04,,,,,,WYKAN,"0000-00-00 00:00:00",NULL
SHE0120260304102049,H1688001_S_10112341,2,79.9,2026-03-04,PROMO_31311|PROMO_32539,"<FRUIT>  ALL 藍色長盒珍寶藍莓: $89.9/2盒|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $89.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,10.1|10.0,KFHO,"0000-00-00 00:00:00",NULL
SHE0120260304102049,H0888001_S_10161394,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,KFHO,"0000-00-00 00:00:00",NULL
OWS0320260304102054,H1688001_S_10111281,1,98,2026-03-04,,,,,,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304102054,H1888001_S_16001724,1,20,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,5.0,LOMF,"0000-00-00 00:00:00",NULL
SRS0120260304102120,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,WYKAN,"0000-00-00 00:00:00",NULL
PMS0320260304102210,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,YYMAK,"0000-00-00 00:00:00",NULL
SRS0120260304102332,H1688001_S_10111152,2,59.9,2026-03-04,PROMO_32494|PROMO_32539,"<FRUIT>  ALL 厄瓜多爾麒麟果: $69.9/2個|送檸檬碳酸1支(2)","<FRUIT> Buy More Save More: $69.9/2|送檸檬碳酸1支(2)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,8.1|10.0,WYKAN,"0000-00-00 00:00:00",NULL
SRS0120260304102332,H0888001_S_10161394,1,10,2026-03-04,PROMO_32539,送檸檬碳酸1支(2),送檸檬碳酸1支(2),RM_DISCOUNT_SKU_LEVEL,8.0,WYKAN,"0000-00-00 00:00:00",NULL
OWS0320260304102407,H0888001_S_10139856,1,59.9,2026-03-04,,,,,,LOMF,"0000-00-00 00:00:00",NULL
OWS0320260304102407,H0001001_S_plasticbag2,1,1,2026-03-04,,,,,,LOMF,"0000-00-00 00:00:00",NULL
GIN0220260304102420,H0888001_S_10144447,1,89.9,2026-03-04,,,,,,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304102420,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304102420,H1888001_S_16001724,1,20,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,5.0,MF231068,"0000-00-00 00:00:00",NULL
SRS0120260304102443,H1688001_S_10112304,2,49.9,2026-03-04,PROMO_32476,"<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒","<FRUIT>  ALL 盒裝黑莓 ／盒裝紅莓 : $49.9/2盒",RM_DISCOUNT_SKU_LEVEL,6.1,WYKAN,"0000-00-00 00:00:00",NULL
MCS0020260304102537,H1688001_S_10111270,3,33.9,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,5.1,YYSHIH,"0000-00-00 00:00:00",NULL
OWS0320260304102640,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,LOMF,"0000-00-00 00:00:00",NULL
SRS0120260304102701,H0888001_S_10138512,2,38,2026-03-04,PROMO_4347|PROMO_27950,"Auto 長者會員每件-$2|<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","Auto Senior Club Member -$2/pcs|<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",PROMOTION|RM_DISCOUNT_SKU_LEVEL,4.0|8.0,WYKAN,"0000-00-00 00:00:00",NULL
SRS0120260304102701,H0888001_S_10156232,1,86,2026-03-04,PROMO_4347|PROMO_29588,"Auto 長者會員每件-$2|消費換購1件","Auto Senior Club Member -$2/pcs|消費換購1件",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|21.0,WYKAN,"0000-00-00 00:00:00",NULL
GIN0220260304102857,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF231068,"0000-00-00 00:00:00",NULL
PMS0320260304102940,H1688001_S_10111816,2,75.9,2026-03-04,PROMO_4347|PROMO_32410|PROMO_32539,"Auto 長者會員每件-$2|<FRUIT>  ALL 筒裝藍莓皇: $89.9/2筒|送檸檬碳酸1支(2)","Auto Senior Club Member -$2/pcs|<FRUIT> Buy More Save More: $89.9/2|送檸檬碳酸1支(2)",PROMOTION|RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.0|10.1|10.0,YYMAK,"0000-00-00 00:00:00",NULL
PMS0320260304102940,H0888001_S_10161394,1,8,2026-03-04,PROMO_4347|PROMO_32539,"Auto 長者會員每件-$2|送檸檬碳酸1支(2)","Auto Senior Club Member -$2/pcs|送檸檬碳酸1支(2)",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|8.0,YYMAK,"2000-00-08 00:00:00",NULL
SRS0120260304102955,H1688001_S_10111284,1,89.9,2026-03-04,,,,,,WYKAN,"0000-00-00 00:00:00",NULL
GIN0220260304103006,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304103006,H0888001_S_10155805,1,72.9,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,MF231068,"2000-07-29 00:00:00",NULL
GIN0220260304103006,H1888001_S_16001724,1,18,2026-03-04,PROMO_4347|PROMO_29588,"Auto 長者會員每件-$2|消費換購1件","Auto Senior Club Member -$2/pcs|消費換購1件",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|5.0,MF231068,"2000-01-08 00:00:00",NULL
GIN0220260304103006,H0888001_S_10155682,4,143.8,2026-03-04,PROMO_4347|PROMO_28403,"Auto 長者會員每件-$2|(3月狂劈價)澳洲150日穀飼黑安格斯牛肩胛火鍋片$75.9/2","Auto Senior Club Member -$2/pcs|(3月狂劈價)澳洲150日穀飼黑安格斯牛肩胛火鍋片$75.9/2",PROMOTION|RM_DISCOUNT_SKU_LEVEL,8.0|31.8,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304103006,H0888001_S_10158756,1,43.9,2026-03-04,PROMO_4347|PROMO_29588,"Auto 長者會員每件-$2|消費換購1件","Auto Senior Club Member -$2/pcs|消費換購1件",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|6.1,MF231068,"0000-00-00 00:00:00",NULL
PMS0320260304103029,H1688001_S_10111270,3,33.9,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,5.1,YYMAK,"0000-00-00 00:00:00",NULL
PMS0320260304103029,H1888001_S_16001724,1,20,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,5.0,YYMAK,"0000-00-00 00:00:00",NULL
SCE0120260304103141,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,HTCHOW,"0000-00-00 00:00:00",NULL
SRS0120260304103137,H1688001_S_10111282,1,89.9,2026-03-04,,,,,,WYKAN,"0000-00-00 00:00:00",NULL
TYS0020260304103043,H0888001_S_10140121,1,76.9,2026-03-04,,,,,,LMCHEUNG,"0000-00-00 00:00:00",NULL
TYS0020260304103043,H0888001_S_10156232,1,88,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,21.0,LMCHEUNG,"0000-00-00 00:00:00",NULL
FVG0220260304103202,H1688001_S_10111877,1,99.9,2026-03-04,,,,,,MF240107,"0000-00-00 00:00:00",NULL
FVG0220260304103202,H1688001_S_10111270,6,67.8,2026-03-04,PROMO_32530,"<FRUIT>  ALL 日本王林蘋果: $33.9/3個","<FRUIT> Buy More Save More: $33.9/3個",RM_DISCOUNT_SKU_LEVEL,10.2,MF240107,"0000-00-00 00:00:00",NULL
GIN0220260304103214,H1688001_S_10111868,1,49.9,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,10.0,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304103214,H0888001_S_10160755,1,10,2026-03-04,PROMO_32536,送檸檬碳酸1支(1),送檸檬碳酸1支(1),RM_DISCOUNT_SKU_LEVEL,8.0,MF231068,"0000-00-00 00:00:00",NULL
GIN0220260304103214,H1688001_S_10111881,1,9.9,2026-03-04,PROMO_29441,<水果>消費換購,<水果>消費換購,RM_DISCOUNT_SKU_LEVEL,6.9,MF231068,"0000-00-00 00:00:00",NULL
MCS0020260304103218,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,YYSHIH,"0000-00-00 00:00:00",NULL
TCS0320260304103232,H1688001_S_10188193,1,6,2026-03-04,,,,,,HYTO,"0000-00-00 00:00:00",NULL
TCS0320260304103232,H1688001_S_10188011,1,6,2026-03-04,,,,,,HYTO,"0000-00-00 00:00:00",NULL
TCS0320260304103232,H0888001_S_10156232,1,88,2026-03-04,PROMO_29588,消費換購1件,消費換購1件,RM_DISCOUNT_SKU_LEVEL,21.0,HYTO,"0000-00-00 00:00:00",NULL
PFB0020260304103242,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,TLCHAN,"0000-00-00 00:00:00",NULL
FTC0020260304103248,H0888001_S_10138512,2,42,2026-03-04,PROMO_27950,"<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",RM_DISCOUNT_SKU_LEVEL,8.0,MF250141,"0000-00-00 00:00:00",NULL
SHE0120260304103250,H1688001_S_10111284,2,175.8,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,4.0,KFHO,"0000-00-00 00:00:00",NULL
SHE0120260304103250,H0001001_S_plasticbag1,1,1,2026-03-04,,,,,,KFHO,"0000-00-00 00:00:00",NULL
SHE0120260304103250,H0888001_S_10156232,1,86,2026-03-04,PROMO_4347|PROMO_29588,"Auto 長者會員每件-$2|消費換購1件","Auto Senior Club Member -$2/pcs|消費換購1件",PROMOTION|RM_DISCOUNT_SKU_LEVEL,2.0|21.0,KFHO,"0000-00-00 00:00:00",NULL
GRC0120260304103257,H1688001_S_10111281,1,96,2026-03-04,PROMO_4347,"Auto 長者會員每件-$2","Auto Senior Club Member -$2/pcs",PROMOTION,2.0,MF240029,"2000-09-06 00:00:00",NULL
