房号,年份,月份,check in,已租/未租,上月水费,检查水费 ,单价水费,上月电费,本月电费,单价电费,房租,网费,卫生费,管理费,电梯费,其他,备注,房东备注,空房,收到房租,,,,,本月水费,本月电费
706,2025,1,,2024-4-30,14,0,4.93,4686,3,0.71,900.00,40,13,,,20,,,,,,,,,14,4689
707,2025,1,,2024-4-40,81,3,4.93,8816,120,0.71,800.00,,10,,,10,,,,,,,,,84,8936
708,2025,1,,,1,0,4.93,5043,0,0.71,"1,400.00",,10,,,3,,,,,,,,,1,5043
801,2025,1,,,22,2,4.93,2692,79,0.71,1000,40,18,,,20,,,,,,,,,24,2771
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,480,,,,,,,,,,,,,
